Date,Open,High,Low,Close,Adj Close,Volume
2015-06-16,53.139999,53.139999,53.139999,53.139999,50.175194,0
2015-06-17,53.230000,53.230000,53.230000,53.230000,50.260174,0
2015-06-18,53.770000,53.770000,53.770000,53.770000,50.770042,0
2015-06-19,53.520000,53.520000,53.520000,53.520000,50.533997,0
2015-06-22,53.830002,53.830002,53.830002,53.830002,50.826698,0
2015-06-23,53.889999,53.889999,53.889999,53.889999,50.883354,0
2015-06-24,53.459999,53.459999,53.459999,53.459999,50.477341,0
2015-06-25,53.080002,53.080002,53.080002,53.080002,50.333214,0
2015-06-26,53.060001,53.060001,53.060001,53.060001,50.314247,0
2015-06-29,51.930000,51.930000,51.930000,51.930000,49.242725,0
2015-06-30,52.099998,52.099998,52.099998,52.099998,49.403919,0
2015-07-01,52.439999,52.439999,52.439999,52.439999,49.726334,0
2015-07-02,52.389999,52.389999,52.389999,52.389999,49.678913,0
2015-07-06,52.209999,52.209999,52.209999,52.209999,49.508232,0
2015-07-07,52.500000,52.500000,52.500000,52.500000,49.783222,0
2015-07-08,51.630001,51.630001,51.630001,51.630001,48.958244,0
2015-07-09,51.759998,51.759998,51.759998,51.759998,49.081516,0
2015-07-10,52.400002,52.400002,52.400002,52.400002,49.688404,0
2015-07-13,52.970001,52.970001,52.970001,52.970001,50.228905,0
2015-07-14,53.220001,53.220001,53.220001,53.220001,50.465965,0
2015-07-15,53.130001,53.130001,53.130001,53.130001,50.380619,0
2015-07-16,53.520000,53.520000,53.520000,53.520000,50.750443,0
2015-07-17,53.529999,53.529999,53.529999,53.529999,50.759918,0
2015-07-20,53.529999,53.529999,53.529999,53.529999,50.759918,0
2015-07-21,53.290001,53.290001,53.290001,53.290001,50.532345,0
2015-07-22,53.209999,53.209999,53.209999,53.209999,50.456482,0
2015-07-23,52.900002,52.900002,52.900002,52.900002,50.162529,0
2015-07-24,52.320000,52.320000,52.320000,52.320000,49.612541,0
2015-07-27,51.980000,51.980000,51.980000,51.980000,49.290134,0
2015-07-28,52.610001,52.610001,52.610001,52.610001,49.887539,0
2015-07-29,52.990002,52.990002,52.990002,52.990002,50.247875,0
2015-07-30,53.020000,53.020000,53.020000,53.020000,50.276318,0
2015-07-31,52.959999,52.959999,52.959999,52.959999,50.219414,0
2015-08-03,52.790001,52.790001,52.790001,52.790001,50.058220,0
2015-08-04,52.680000,52.680000,52.680000,52.680000,49.953903,0
2015-08-05,52.869999,52.869999,52.869999,52.869999,50.134075,0
2015-08-06,52.430000,52.430000,52.430000,52.430000,49.716846,0
2015-08-07,52.270000,52.270000,52.270000,52.270000,49.565121,0
2015-08-10,52.939999,52.939999,52.939999,52.939999,50.200455,0
2015-08-11,52.450001,52.450001,52.450001,52.450001,49.735813,0
2015-08-12,52.490002,52.490002,52.490002,52.490002,49.773746,0
2015-08-13,52.430000,52.430000,52.430000,52.430000,49.716846,0
2015-08-14,52.650002,52.650002,52.650002,52.650002,49.925465,0
2015-08-17,52.980000,52.980000,52.980000,52.980000,50.238380,0
2015-08-18,52.820000,52.820000,52.820000,52.820000,50.086666,0
2015-08-19,52.369999,52.369999,52.369999,52.369999,49.659950,0
2015-08-20,51.220001,51.220001,51.220001,51.220001,48.569466,0
2015-08-21,49.720001,49.720001,49.720001,49.720001,47.147091,0
2015-08-24,47.759998,47.759998,47.759998,47.759998,45.288509,0
2015-08-25,47.169998,47.169998,47.169998,47.169998,44.729042,0
2015-08-26,48.889999,48.889999,48.889999,48.889999,46.360035,0
2015-08-27,50.070000,50.070000,50.070000,50.070000,47.478973,0
2015-08-28,50.169998,50.169998,50.169998,50.169998,47.573795,0
2015-08-31,49.779999,49.779999,49.779999,49.779999,47.203979,0
2015-09-01,48.340000,48.340000,48.340000,48.340000,45.838497,0
2015-09-02,49.209999,49.209999,49.209999,49.209999,46.663479,0
2015-09-03,49.270000,49.270000,49.270000,49.270000,46.720375,0
2015-09-04,48.570000,48.570000,48.570000,48.570000,46.056591,0
2015-09-08,49.770000,49.770000,49.770000,49.770000,47.194496,0
2015-09-09,49.110001,49.110001,49.110001,49.110001,46.568649,0
2015-09-10,49.349998,49.349998,49.349998,49.349998,46.796230,0
2015-09-11,49.580002,49.580002,49.580002,49.580002,47.014336,0
2015-09-14,49.389999,49.389999,49.389999,49.389999,46.834167,0
2015-09-15,50.000000,50.000000,50.000000,50.000000,47.412590,0
2015-09-16,50.439999,50.439999,50.439999,50.439999,47.829826,0
2015-09-17,50.369999,50.369999,50.369999,50.369999,47.763451,0
2015-09-18,49.570000,49.570000,49.570000,49.570000,47.004841,0
2015-09-21,49.750000,49.750000,49.750000,49.750000,47.175529,0
2015-09-22,49.110001,49.110001,49.110001,49.110001,46.568649,0
2015-09-23,48.990002,48.990002,48.990002,48.990002,46.454861,0
2015-09-24,48.560001,48.560001,48.560001,48.560001,46.280453,0
2015-09-25,48.459999,48.459999,48.459999,48.459999,46.185143,0
2015-09-28,47.180000,47.180000,47.180000,47.180000,44.965233,0
2015-09-29,47.189999,47.189999,47.189999,47.189999,44.974758,0
2015-09-30,48.070000,48.070000,48.070000,48.070000,45.813450,0
2015-10-01,48.139999,48.139999,48.139999,48.139999,45.880165,0
2015-10-02,48.860001,48.860001,48.860001,48.860001,46.566364,0
2015-10-05,49.770000,49.770000,49.770000,49.770000,47.433643,0
2015-10-06,49.560001,49.560001,49.560001,49.560001,47.233509,0
2015-10-07,50.029999,50.029999,50.029999,50.029999,47.681446,0
2015-10-08,50.470001,50.470001,50.470001,50.470001,48.100784,0
2015-10-09,50.520000,50.520000,50.520000,50.520000,48.148438,0
2015-10-12,50.549999,50.549999,50.549999,50.549999,48.177036,0
